DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,PAYLOAD,SEATS,PASSENGERS,DISTANCE,AIR_TIME,AIRLINE_ID,CARRIER,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,YEAR,QUARTER,MONTH,CLASS
1,1,12350,50,34,372,66,20398,MQ,Envoy Air,MGM,"Montgomery, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,675,1,2018,2,5,F
1,1,39500,150,127,350,55,19805,AA,American Airlines Inc.,BHM,"Birmingham, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,694,1,2018,2,6,F
1,1,12350,50,34,372,63,20398,MQ,Envoy Air,MGM,"Montgomery, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,675,1,2018,2,6,F
1,1,17600,63,38,526,70,20397,OH,PSA Airlines Inc.,MOB,"Mobile, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,631,1,2018,3,7,F
1,1,22500,76,32,372,62,20397,OH,PSA Airlines Inc.,MGM,"Montgomery, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,638,1,2018,3,8,F
1,1,22500,76,45,526,79,20397,OH,PSA Airlines Inc.,MOB,"Mobile, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,638,1,2018,3,8,F
1,1,13000,65,42,399,127,20366,EV,ExpressJet Airlines Inc.,HSV,"Huntsville, AL",AL,1,Alabama,GSO,"Greensboro/High Point, NC",NC,37,North Carolina,631,1,2018,3,9,F
1,1,22500,76,3,372,51,20397,OH,PSA Airlines Inc.,MGM,"Montgomery, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,638,1,2018,3,9,F
1,1,17600,65,20,372,55,20397,OH,PSA Airlines Inc.,MGM,"Montgomery, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,631,1,2018,1,1,F
1,1,12350,50,16,372,60,20398,MQ,Envoy Air,MGM,"Montgomery, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,675,1,2018,2,4,F
1,1,10090,44,44,372,64,20398,MQ,Envoy Air,MGM,"Montgomery, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,676,1,2018,2,4,F
2,2,40420,152,44,372,116,20397,OH,PSA Airlines Inc.,MGM,"Montgomery, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,638,1,2018,1,1,F
2,2,24440,100,53,333,136,20397,OH,PSA Airlines Inc.,HSV,"Huntsville, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,629,1,2018,1,2,F
2,2,30740,130,109,333,128,20366,EV,ExpressJet Airlines Inc.,HSV,"Huntsville, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,631,1,2018,3,9,F
2,2,42710,152,58,526,150,20397,OH,PSA Airlines Inc.,MOB,"Mobile, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,638,1,2018,3,9,F
2,2,42710,152,90,372,128,20397,OH,PSA Airlines Inc.,MGM,"Montgomery, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,638,1,2018,2,4,F
3,3,36720,150,112,333,208,20397,OH,PSA Airlines Inc.,HSV,"Huntsville, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,629,1,2018,1,3,F
3,3,67500,228,112,372,176,20397,OH,PSA Airlines Inc.,MGM,"Montgomery, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,638,1,2018,2,6,F
3,3,52800,193,141,526,233,20397,OH,PSA Airlines Inc.,MOB,"Mobile, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,631,1,2018,3,9,F
3,3,36680,150,143,350,186,20397,OH,PSA Airlines Inc.,BHM,"Birmingham, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,629,1,2018,4,10,F
4,4,85420,304,217,526,293,20397,OH,PSA Airlines Inc.,MOB,"Mobile, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,638,1,2018,1,2,F
4,4,87710,304,200,333,236,20397,OH,PSA Airlines Inc.,HSV,"Huntsville, AL",AL,1,Alabama,CLT,"Charlotte, NC",NC,37,North Carolina,638,1,2018,3,8,F
